epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
152,281.836,1.27252,0.6357,1.15065,0.96306,0.91521,0.94517,0.66936,1.33308,0.64596,1.3071,0.0070102,0.0070102,0.0070102
153,283.617,1.27277,0.6457,1.13488,0.97039,0.90867,0.94168,0.66502,1.34493,0.64083,1.31249,0.0069904,0.0069904,0.0069904
154,285.411,1.27595,0.63388,1.14814,0.96851,0.91741,0.95098,0.67008,1.34455,0.64127,1.30616,0.0069706,0.0069706,0.0069706
155,287.201,1.25219,0.63268,1.15889,0.97405,0.90694,0.94844,0.66762,1.33951,0.63798,1.30411,0.0069508,0.0069508,0.0069508
156,288.99,1.27008,0.63115,1.13057,0.96912,0.91245,0.95072,0.67955,1.33513,0.63183,1.30178,0.006931,0.006931,0.006931
157,290.774,1.26716,0.63676,1.15746,0.96946,0.92095,0.94706,0.67461,1.32873,0.62564,1.3006,0.0069112,0.0069112,0.0069112
158,292.555,1.27708,0.63438,1.1545,0.97167,0.90969,0.94356,0.66063,1.40053,0.6588,1.32819,0.0068914,0.0068914,0.0068914
159,294.337,1.26895,0.63504,1.14132,0.97335,0.9073,0.94391,0.66344,1.33222,0.63847,1.30155,0.0068716,0.0068716,0.0068716
160,296.122,1.26769,0.63161,1.13754,0.97735,0.9141,0.95147,0.67951,1.33428,0.63527,1.30432,0.0068518,0.0068518,0.0068518
161,297.911,1.27695,0.63926,1.14711,0.96735,0.91453,0.94603,0.66969,1.37485,0.64784,1.32531,0.006832,0.006832,0.006832
162,299.703,1.2696,0.63197,1.13676,0.95782,0.91377,0.94646,0.66057,1.362,0.63534,1.32094,0.0068122,0.0068122,0.0068122
163,301.485,1.28187,0.6392,1.1349,0.96962,0.91641,0.94533,0.66789,1.34861,0.64765,1.31495,0.0067924,0.0067924,0.0067924
164,303.277,1.25239,0.62371,1.14275,0.97299,0.90447,0.94485,0.6798,1.33172,0.63135,1.30453,0.0067726,0.0067726,0.0067726
165,305.064,1.24766,0.626,1.12363,0.96774,0.90868,0.9411,0.66755,1.34224,0.64414,1.30975,0.0067528,0.0067528,0.0067528
166,306.851,1.26053,0.639,1.13901,0.97641,0.9099,0.94491,0.65914,1.40025,0.66812,1.33057,0.006733,0.006733,0.006733
167,308.64,1.26091,0.63392,1.13554,0.97471,0.90308,0.94452,0.66801,1.34314,0.64485,1.3118,0.0067132,0.0067132,0.0067132
168,310.432,1.26716,0.63504,1.14139,0.95602,0.9141,0.93934,0.66206,1.3428,0.64984,1.31249,0.0066934,0.0066934,0.0066934
169,312.218,1.22522,0.61073,1.12824,0.97088,0.90924,0.94647,0.67746,1.31803,0.62552,1.29265,0.0066736,0.0066736,0.0066736
170,314.015,1.27111,0.62665,1.12948,0.9705,0.90804,0.94426,0.67377,1.34432,0.64016,1.3116,0.0066538,0.0066538,0.0066538
171,315.804,1.2338,0.61734,1.13308,0.97119,0.90713,0.93995,0.67066,1.32892,0.62991,1.3013,0.006634,0.006634,0.006634
172,317.597,1.2525,0.62509,1.13403,0.97252,0.90661,0.94046,0.65452,1.36623,0.63974,1.31428,0.0066142,0.0066142,0.0066142
173,319.391,1.23905,0.62082,1.11991,0.96525,0.91851,0.94898,0.67488,1.3406,0.63335,1.30093,0.0065944,0.0065944,0.0065944
174,321.186,1.2482,0.6146,1.12611,0.9762,0.91135,0.94562,0.66922,1.34045,0.63313,1.3042,0.0065746,0.0065746,0.0065746
175,322.99,1.26804,0.62637,1.13276,0.97123,0.9108,0.94346,0.66607,1.3536,0.63047,1.31235,0.0065548,0.0065548,0.0065548
176,324.794,1.24472,0.62394,1.12067,0.97267,0.91135,0.94719,0.66699,1.34648,0.62261,1.31523,0.006535,0.006535,0.006535
177,326.59,1.22962,0.61789,1.13247,0.97105,0.90859,0.94755,0.67106,1.34604,0.62471,1.30702,0.0065152,0.0065152,0.0065152
178,328.383,1.23459,0.61717,1.12813,0.95798,0.90763,0.94562,0.67889,1.34351,0.62875,1.30923,0.0064954,0.0064954,0.0064954
179,330.171,1.2265,0.61338,1.11775,0.9687,0.91537,0.94623,0.68006,1.33899,0.61421,1.30174,0.0064756,0.0064756,0.0064756
180,331.959,1.24325,0.6216,1.12126,0.96672,0.9119,0.94772,0.66971,1.33926,0.63069,1.29972,0.0064558,0.0064558,0.0064558
